sable cavern of lou 53
still seemed to fit 82
still seemed to get 154
still seemed to hang 405
still seemed to hear 629
still seemed to her 1068
still seemed to him 3168
still seemed to lie 211
still seemed to run 67
still seemed to say 95
still seemed to see 683
still seemed to sit 63
still seemed to them 529
still seemed to wear 44
still seethed in his 51
still served as his 78
still served as its 74
still served as one 46
still served in his 47
still served in that 60
still serves as its 212
still serves as one 218
still serves as our 79
still serves in that 311
still serves in this 112
still serves on its 63
still settling in and 101
still settling in our 50
still settling up its 44
still shaded by his 42
still shaken by her 354
still shaken by his 547
still shaken by how 43
still shaken by its 55
still shaken by that 129
still shaken by this 133
still shaken up and 40
still shaped by his 59
still shaped by its 57
still shapes the way 91
still shared by all 107
still shared the old 44
still sheathed at his 95
still sheathed in ice 43
still sheathed in its 60
still shines in all 46
still shines in each 43
still shines in his 74
still shines in its 53
still shines in our 54
still shines on this 46
still shines on with 47
still shocking to see 57
still shooting at each 64
still shooting at him 97
still shooting at them 99
still shooting it out 40
still should go with 227
still shouting as they 54
still shouting at each 167
still shouting at her 92
still shouting at him 177
still shouting at them 50
still shouting in his 47
still shouting to his 41
still showed in her 241
still showed in his 376
still showed no fear 41
still showed no real 45
still showed on her 140
still showed on his 219
still showed the old 132
still showed the red 52
still showed the way 43
still showed up for 140
still silent as she 40
still silent as they 78
still simmer in our 42
still simple in its 60
still simply do not 44
still slaves to them 164
still sleeping at this 78
still sleeping in bed 154
still sleeping in her 318
still sleeping in his 538
still sleeping in its 70
still sleeping in one 40
still sleeping in our 49
still sleeping in that 48
still sleeping it off 826
still sleeping on her 104
still sleeping on his 172
still sleeps in her 52
still sleeps in his 156
still slipping in and 42
still slogging it out 46
still slower in its 55
still slugging it out 240
still smarting at being 57
still smarting at his 186
still smarting in his 42
still smelling of her 49
still smelling of ink 55
still smelling of new 50
still smells of death 46
still smells of her 74
still smells of his 57
still smiled as she 97
still smiled at her 215
still smiled at him 280
still smiled at his 52
still smiled at them 42
still smiled on him 116
still snarling at each 55
still sniffing the air 101
still something he did 40
still something he had 147
still something he was 68
still something in her 363
still something in him 289
still something in his 226
still something in that 58
still something in them 59
still something in this 112
still something of her 41
still something of his 69
still something of its 152
still something of that 213
still something of this 142
still something on her 48
still something on his 136
still something on them 53
still something to add 516
still something to fear 180
still something to get 102
still something to say 2024
still something to see 224
still something we can 409
still sought to bring 110
still sought to get 54
still sought to use 73
still sought to win 106
still sounding in her 436
still sounding in his 919
still sounding in our 480
still sounds in his 80
still sounds in our 117
still spared to her 134
still spared to him 123
still spared to our 78
still spared to them 67
still spared to you 124
still special to him 40
still spinning as she 44
still spinning in her 68
still spinning in his 107
still spinning on its 85
still spoken by all 57
still spoken in all 41
still spoken in and 41
still spoken in his 46
still spoken in its 111
still spoken in that 78
still spoken in this 82
still spoken of and 64
still spoken of with 1494
still stalks the earth 52
still standing an old 52
still standing as one 129
still standing as she 144
still standing as they 276
still standing at all 82
still standing at her 254
still standing at his 542
still standing at its 110
still standing at one 173
still standing at that 285
still standing at this 267
still standing by and 48
still standing by her 373
still standing by him 121
still standing by his 665
still standing by its 42
still standing by that 52
still standing in all 365
still standing in and 44
still standing in any 49
still standing in east 40
still standing in for 56
still standing in her 620
still standing in his 1376
still standing in its 1235
still standing in new 371
still standing in old 131
still standing in one 250
still standing in our 218
still standing in san 92
still standing in that 487
still standing in them 102
still standing in this 565
still standing is that 156
still standing on all 106
still standing on each 88
still standing on east 42
still standing on end 214
still standing on her 363
still standing on his 907
still standing on its 933
still standing on one 667
still standing on our 65
still standing on that 200
still standing on them 46
still standing on this 196
still standing on top 155
still standing or had 46
still standing or not 94
still standing so that 127
still standing the old 54
still standing to his 77
still standing to its 90
still standing to one 66
still standing to this 228
still standing up and 227
still standing up for 121
still standing up with 107
still stands an old 209
still stands as both 77
still stands as his 133
still stands as its 77
still stands as one 2490
still stands as our 95
still stands as you 68
still stands at all 48
still stands at bay 77
still stands at his 56
still stands at its 153
still stands at one 180
still stands at that 62
still stands at this 152
still stands by her 80
still stands by his 230
still stands by its 155
still stands if you 89
still stands in all 484
still stands in awe 69
still stands in east 76
still stands in her 106
still stands in his 424
still stands in its 1639
still stands in new 100
still stands in old 68
still stands in one 169
still stands in our 271
still stands in san 66
still stands in that 390
still stands in this 198
still stands on east 131
still stands on end 107
still stands on his 174
still stands on its 1166
still stands on one 289
still stands on our 53
still stands on that 110
still stands on this 188
still stands on top 68
still stands the old 545
still stands to bear 61
still stands to his 97
still stands to its 169
still stands to this 668
still stands up for 102
still stared at each 52
still stared at her 977
still stared at him 1210
still stared at his 167
still stared at them 164
still starve to death 223
still starving to death 74
still states of this 54
still stayed at his 45
still stayed in her 72
still stayed in his 133
still stayed on his 83
still stayed on with 45
still sticking in her 168
still sticking in him 102
still sticking in his 736
still sticking in its 188
still sticking in one 50
still sticking in them 548
still sticking it out 106
still sticking to her 267
still sticking to him 203
still sticking to his 801
still sticking to its 224
still sticking to one 56
still sticking to our 73
still sticking to that 139
still sticking to them 452
still sticking to this 44
still sticking up for 41
still sticking up out 87
still sticks in her 42
still sticks in his 266
still sticks in our 86
still sticks to her 156
still sticks to him 143
still sticks to his 482
still sticks to its 163
still sticks to them 56
still sticks to this 69
still stirring in her 48
still stirring in his 67
still stirring the pot 50
still stoned to death 64
still stored in her 51
still stored in his 82
still stored in its 72
still strange to her 285
still strange to him 444
still strange to his 55
still strange to see 92
still strange to them 185
still strange to you 42
still strength in his 145
still striding on and 65
still striding up and 81
still strike the eye 55
still strike us with 68
still strive to get 77
still striving to bring 110
still striving to get 248
still striving to win 64
still stroking the cat 73
still stroking the dog 40
still strove to put 41
still strove to win 65
still struck by his 82
still struck by how 107
still struck by its 57
still studying the map 208
still studying the two 115
still suckling at her 102
still suffer in not 76
still suffer in this 52
still supply us with 136
still surged in his 43
still survey it with 111
still swathed in her 163
still swathed in his 47
still swathed in its 59
still swayed by his 56
still swayed to and 51
still swimming in her 69
still swimming in his 61
still swirling in her 46
still swirling in his 64
still talked of and 57
still talked of being 45
still talked of for 49
still talked of going 131
still talked of her 94
still talked of him 109
still talked of his 269
still talked of how 53
still talked of with 118
still talked to each 120
still talked to her 315
still talked to him 311
still talked to his 46
still talked to them 48
still tangled in her 263
still tangled in his 189
still tangled up with 116
still taught in all 138
still taught in our 388
still taught in this 43
still taught the old 41
still taught to read 59
still taught to use 47
still teaches us that 64
still tended to act 69
still tended to bring 46
still tended to cling 65
still tended to get 69
still tended to put 41
still tended to run 53
still tended to see 399
still tended to use 178
still thought at that 70
still thought at this 45
still thought he did 62
still thought he had 1271
still thought he saw 176
still thought he was 4115
still thought in his 46
still thought it all 226
still thought it had 261
still thought it his 278
still thought it not 65
still thought it odd 53
still thought it too 109
still thought it was 6226
still thought of all 72
still thought of and 139
still thought of each 62
still thought of god 83
still thought of going 91
still thought of her 6434
still thought of him 3317
still thought of his 1541
still thought of its 41
still thought of that 206
still thought of them 1112
still thought of this 223
still thought of war 388
still thought of with 116
still thought of you 147
still thought the earth 218
still thought the idea 123
still thought the law 44
still thought the man 54
still thought the old 45
still thought the two 40
still thought the war 148
still thought to lie 107
still thought to see 53
still thought we had 215
still thrives in its 42
still thrives in our 40
still thrives in this 53
still thrives on its 47
still throbbing in her 106
still throbbing in his 158
still through it all 285
still through the long 121
still through the old 53
still through the use 41
still toiled at his 76
still tossed to and 45
still toward the east 50
still toward the end 63
still traces of her 152
still traces of his 239
still traces of its 138
still traces of old 63
still traces of red 98
still traces of that 151
still traces of them 78
still traces of this 309
still tramping up and 54
still treated as being 126
still treated as one 417
still treated by him 67
still treated in this 85
still treated it with 54
still treated me with 189
still trusting in god 143
still trusting in his 54
still trusting to his 98
still trusts in god 76
still trusts in his 65
still tucked in her 85
still tucked in his 248
still tugged at her 185
still tugged at him 128
still tugged at his 184
still turned in his 47
still turned on and 124
still turned on him 45
still turned on his 58
still turned to eye 64
still turned to god 48
still turned to her 424
still turned to him 481
still turned to his 224
still turned to them 115
still turned up and 41
still turned up for 76
still turned up with 48
still unable to act 251
still unable to ask 50
still unable to bear 302
still unable to bring 566
still unable to buy 127
still unable to cry 61
still unable to cut 58
still unable to deal 327
still unable to earn 224
still unable to fit 56
still unable to fix 102
still unable to fly 938
still unable to get 3154
still unable to hear 245
still unable to lay 84
still unable to lead 41
still unable to let 211
still unable to lie 43
still unable to pay 872
still unable to put 551
still unable to read 2004
still unable to rid 214
still unable to run 99
still unable to say 1377
still unable to see 3095
still unable to set 115
still unable to sit 402
still unable to tear 137
still unable to tie 53
still unable to use 729
still unable to wear 56
still unable to win 232
still unclear at that 44
still unclear at this 325
still unclear if and 51
still unclear if they 62
still unclear if this 127
still unclear in his 61
still unclear in this 61
still unclear is how 83
still unclear on how 59
still unclear on this 44
still unclear to her 103
still unclear to him 243
still unclear to them 63
still unclear to this 47
still unclear to you 196
still unique in its 164
still unique in that 122
still unique in this 42
still united as one 104
still united in its 52
still united in one 134
still united to his 76
still united to its 49
still unless he was 52
still unsure if she 120
still unsure if they 48
still unsure if this 50
still unsure of her 492
still unsure of him 86
still unsure of his 1185
still unsure of how 616
still unsure of its 441
still unsure of our 59
still unsure of this 70
still unsure of who 82
still unsure of why 52
still unused to being 77
still unused to his 40
still unused to this 41
still upheld by that 45
still upheld the old 101
still upheld to our 82
still uphold the old 63
still urgent in his 53
still useful as long 62
still useful as they 48
still useful if one 40
still useful if you 78
still useful in its 121
still useful in our 48
still useful in that 466
still useful in this 192
still useful to all 65
still useful to ask 86
still useful to her 45
still useful to him 155
still useful to his 46
still useful to read 50
still useful to see 115
still useful to them 149
still useful to try 58
still useful to use 86
still useful to you 110
still vested in her 104
still vested in him 191
still vested in his 79
still vested in that 55
still vested in them 130
still viewed as being 394
still viewed as one 382
still viewed as too 49
still viewed in this 46
still viewed it with 45
still violate the law 74
still violating the law 71
still waited on him 56
still waited to hear 136
still waited to see 157
still walked by his 48
still walked in his 42
still walked on earth 109
still walked the earth 1814
still walked to and 91
still walked up and 348
still wander up and 62
still wanted it all 89
still wanted me and 68
still wanted me for 42
still wanted the job 157
still wanted the old 85
still wanted to act 134
still wanted to add 90
still wanted to ask 411
still wanted to beat 94
still wanted to bring 249
still wanted to buy 476
still wanted to cling 84
still wanted to cry 125
still wanted to cut 92
still wanted to deal 51
still wanted to die 214
still wanted to earn 54
still wanted to end 103
still wanted to fly 215
still wanted to get 2710
still wanted to hang 194
still wanted to hear 1051
still wanted to hit 97
still wanted to lead 72
still wanted to let 90
still wanted to own 145
still wanted to pay 146
still wanted to put 311
still wanted to read 260
still wanted to run 511
still wanted to say 531
still wanted to see 3662
still wanted to set 60
still wanted to sit 102
still wanted to try 874
still wanted to use 651
still wanted to wear 96
still wanted to win 342
still wanton in her 46
still warded it out 98
still warmed by his 55
still warmer in his 48
still watching as she 56
still watching me and 79
still watching me with 246
still watching the boy 102
still watching the car 71
still watching the man 333
still watching the men 77
still watching the old 72
still watching the sky 146
still watching the two 190
still watching to see 170
still watching us with 41
still waters as they 44
still waters of god 103
still waters of her 191
still waters of his 710
still waters of its 204
still waters of our 286
still waters of that 168
still waters of this 380
still wavering in her 58
still wavering in his 140
still wavering on his 48
still wedded to her 47
still wedded to his 186
still wedded to its 94
still wedded to old 41
still wedded to that 46
still wedged in his 81
still weighing on her 60
still weighing on him 89
still weighing on his 143
still whether or not 207
still whilst he was 47
still whirling in his 42
still whirls on her 161
still widely in use 2092
still wished he had 277
still wished he was 68
still wished to act 43
still wished to bring 64
still wished to buy 73
still wished to get 129
still wished to hear 128
still wished to lead 52
still wished to put 48
still wished to say 70
still wished to see 714
still wished to try 139
still wished to use 101
still wishes he had 78
still wishes to die 43
still wishes to say 71
still wishes to see 251
still wishes to use 128
still without an idea 44
still without the aid 70
still without the use 156
still wobbly on his 93
still wobbly on its 45
still wonder at his 60
still wonder at how 45
still wonder at this 58
still wonder if any 41
still wonder if she 303
still wonder if that 159
still wonder if they 239
still wonder if this 183
still wonder if you 165
still wonder to this 165
still worked at all 40
still worked at her 67
still worked at his 448
still worked in her 62
still worked in him 58
still worked in his 259
still worked in its 62
still worked in that 42
still worked in this 115
still worked on and 83
still worked on her 63
still worked on him 45
still worked on his 145
still worked to win 45
still writes to her 95
still writes to him 92
still writes to you 54
still yearned to see 82
stink filled the air 163
stirs abroad at all 78
stock already in use 49
stock answer is that 519
stock answer to all 114
stock answer to any 105
stock answer to that 94
stock answer to this 231
stock before he can 82
stock before it can 122
stock before it goes 247
stock before it had 50
stock before it has 122
stock before it was 455
stock before the bid 58
stock before the death 46
stock before the end 708
stock before the new 192
stock before the war 59
stock begins to run 84
stock belonging to all 40
stock belonging to any 156
stock belonging to each 76
stock belonging to her 121
stock belonging to him 489
stock belonging to his 435
stock belonging to one 44
stock belonging to that 107
stock belonging to them 273
stock belonging to this 141
stock broker in new 119
stock broker is not 44
stock broker to buy 147
stock closed the day 64
stock common to all 140
stock common to both 67
stock common to him 51
stock common to them 75
stock created by this 49
stock enough to set 60
stock existing at any 48
stock figure in our 47
stock figure of fun 496
stock firmly in this 63
stock grazed on any 43
stock holdings in his 41
stock holdings of each 42
stock holdings to his 47
stock instead of being 352
stock instead of its 85
stock instead of using 41
stock issued at par 468
stock issued by any 950
stock issued by each 47
stock issued by that 128
stock issued by them 67
stock issued by this 83
stock issued in his 64
stock issued in that 42
stock issued is not 57
stock issued to each 120
stock issued to him 1209
stock issued to pay 44
stock issued to them 725
stock issues do not 179
stock itself is not 128
stock levels at each 81
stock levels do not 44
stock levels in each 53
stock levels of all 167
stock levels of each 110
stock levels of raw 41
stock levels so that 57
stock listed on one 70
stock market as being 83
stock market as one 160
stock market as they 122
stock market at all 562
stock market at any 147
stock market at its 53
stock market at that 445
stock market at this 118
stock market by using 100
stock market by way 48
stock market do not 311
stock market if they 111
stock market if you 149
stock market in any 133
stock market in asia 196
stock market in both 53
stock market in each 49
stock market in his 94
stock market in its 194
stock market in may 211
stock market in mid 117
stock market in new 1279
stock market in one 128
stock market in our 42
stock market in real 48
stock market in that 317
stock market in this 199
stock market in two 41
stock market is all 289
stock market is and 57
stock market is being 66
stock market is both 58
stock market is but 47
stock market is doing 479
stock market is due 104
stock market is easy 42
stock market is far 127
stock market is for 110
stock market is going 2233
stock market is hot 47
stock market is its 73
stock market is low 113
stock market is near 99
stock market is not 2914
stock market is now 251
stock market is one 1126
stock market is that 1395
stock market is too 271
stock market is weak 162
stock market of new 137
stock market of that 69
stock market of this 41
stock market on his 75
stock market on this 41
stock market or any 133
stock market or for 58
stock market or not 44
stock market or real 267
stock market or with 158
stock market so that 382
stock market the day 44
stock market the way 48
stock market to buy 245
stock market to get 60
stock market to his 138
stock market to its 82
stock market to new 72
stock market to pay 43
stock market to see 78
stock market up and 70
stock notions of his 70
stock number is not 53
stock number of each 94
stock options do not 462
stock options he had 166
stock options he was 42
stock options if they 159
stock options in any 113
stock options in his 50
stock options in that 142
stock options in this 71
stock options is not 572
stock options is that 490
stock options so that 107
stock options to all 392
stock options to buy 112
stock options to each 61
stock options to his 59
stock options to its 816
stock options to key 220
stock options to pay 61
stock options to top 155
stock owners do not 89
stock passed to his 45
stock passes to his 68
stock phrase of his 68
stock prices as they 196
stock prices at any 199
stock prices by using 51
stock prices do not 2107
stock prices if they 41
stock prices in any 53
stock prices in both 43
stock prices in new 259
stock prices in one 43
stock prices in real 109
stock prices in that 132
stock prices in this 264
stock prices in two 95
stock prices is not 631
stock prices is that 358
stock prices of all 140
stock prices of both 172
stock prices of each 45
stock prices of oil 131
stock prices of two 41
stock prices so that 146
stock prices to new 319
stock prices to see 45
stock prices up and 141
stock raised in this 91
stock reached an all 172
stock report by each 42
stock rights to its 52
stock should be cut 510
stock should be fed 190
stock should be one 181
stock should be put 201
stock should be read 58
stock should be set 180
stock splits do not 201
stock splits in that 46
stock standing in her 269
stock standing in his 905
stock standing to his 64
stock through the die 62
stock through the long 66
stock through the new 75
stock through the use 423
stock through the year 101
stock ticker in his 48
stock toward the end 173
stock traded as low 44
stock unless he has 45
stock unless it can 40
stock unless it has 164
stock unless it was 43
stock valued at one 112
stock valued at par 50
stock valued at ten 41
stock version of ftp 40
stock whether or not 582
stock without the use 47
stole across the sky 114
stole across to his 54
stole behind me and 70
stole pieces of meat 48
stole slowly to her 56
stole softly in and 63
stole softly to her 320
stole softly to his 191
stole through the air 119
stole through the dim 53
stole through the long 102
stone across the top 270
stone aisles of that 52
stone around in that 57
stone before he was 65
stone before it can 41
stone before it has 63
stone before it was 356
stone before the end 45
stone begins to get 43
stone belonging to this 86
stone beside me and 46
stone beside the path 111
stone beside the row 88
stone beside the singing 50
stone blocking the way 43
stone blocks of its 151
stone bottle at his 59
stone bottle of ink 48
stone bridge at this 55
stone bridge of one 755
stone bridge of six 515
stone bridge of ten 118
stone bridge of two 847
stone broken in two 83
stone bruise on his 104
stone building at its 81
stone building in its 102
stone building in new 58
stone building in this 109
stone building is now 96
stone building of any 57
stone building of its 72
stone building of mean 51
stone building of one 223
stone building of this 82
stone building of two 676
stone building on one 42
stone building on top 47
stone carved by its 48
stone carved in low 55
stone caught my eye 140
stone changed by age 46
stone chosen of god 49
stone church at san 119
stone church in all 48
stone church of her 49
stone church of san 201
stone coffin or two 43
stone covering the top 135
stone disease is not 103
stone facade of this 103
stone fences of new 213
stone filled in with 142
stone filled the air 60
stone graven by art 353
stone guarding it all 45
stone houses in its 52
stone houses in this 142
stone houses of one 78
stone houses of this 185
stone houses of two 158
stone houses on each 56
stone houses on his 87
stone hurled at him 149
stone hurled by one 49
stone images of him 43
stone images of men 268
stone images of this 164
stone instead of being 173
stone instead of earth 160
stone instead of his 68
stone instead of mud 123
stone instead of with 66
stone itself is not 197
stone knives to cut 51
stone lodged in her 61
stone lodged in his 115
stone picked up and 44
stone pillar of his 47
stone placed at its 42
stone placed in his 113
stone placed on end 69
stone placed on his 100
stone placed on its 47
stone placed on top 532
stone rebuke me for 126
stone seemed to its 56
stone shaped to fit 43
stone should be cut 256
stone should be dry 41
stone should be put 281
stone should be set 305
stone stairs of his 42
stone stairs to her 63
stone stairs to his 133
stone stairs to one 68
stone stairs to our 58
stone stairs to see 45
stone standing on end 79
stone standing on its 71
stone statue of her 51
stone statue of him 244
stone statue of our 94
stone statue of sir 53
stone statue of this 74
stone tablet in his 40
stone through the air 583
stone through the use 48
stone toward the earth 52
stone uphill to see 40
stone version of this 85
stone weighing on our 44
stone wheels to pay 70
stone whereon to lay 158
stone without the aid 67
stone without the use 203
stony aspect of one 47
stony bottom of this 63
stony course of its 56
stony fields of new 77
stony ground is ice 54
stony ground of his 50
stony manner of all 124
stony margin on each 63
stood abreast of each 69
stood across the bar 58
stood across the bay 559
stood across the bed 100
stood across the end 59
stood across the head 41
stood across the path 428
stood across the way 366
stood admiring it for 93
stood admiring the new 54
stood aghast as she 153
stood aghast as they 239
stood aghast at her 269
stood aghast at him 98
stood aghast at his 1200
stood aghast at its 240
stood aghast at our 270
stood aghast at this 2726
stood aghast to hear 172
stood aghast to see 376
stood almost at her 51
stood almost at his 103
stood almost if not 51
stood almost in awe 86
stood almost on end 139
stood almost on her 47
stood almost on tip 131
stood almost on top 90
stood already in his 71
stood always at his 149
stood always in his 54
stood amazed as they 48
stood amazed at her 107
stood amazed at his 360
stood amazed at its 43
stood amazed at this 699
stood amazed to hear 64
stood amazed to see 410
stood around as they 66
stood around in awe 210
stood around in his 197
stood around in our 190
stood around it and 194
stood around it for 51
stood around it with 104
stood around me and 220
stood around me with 44
stood around my bed 214
stood around on one 181
stood around or sat 177
stood around the bar 172
stood around the bed 2186
stood around the big 94
stood around the boy 43
stood around the car 284
stood around the dead 211
stood around the death 43
stood around the dying 127
stood around the hut 45
stood around the long 78
stood around the man 61
stood around the map 55
stood around the new 58
stood around the old 122
stood around the pit 60
stood around the rim 53
stood around the two 95
stood around to hear 110
stood around to see 729
stood around us and 93
stood around us with 59
stood aspiring in his 53
stood athwart the path 150
stood awaiting me with 73
stood beatrix in her 56
stood before an old 172
stood before he had 66
stood before it all 57
stood before it and 960
stood before it for 683
stood before it now 43
stood before it that 47
stood before it was 830
stood before it with 613
stood before me all 60
stood before me and 2360
stood before me but 40
stood before me for 325
stood before me had 88
stood before me now 616
stood before me one 260
stood before me she 45
stood before me that 288
stood before me then 136
stood before me this 59
stood before me was 593
stood before me with 2839
stood before my bed 104
stood before my own 59
stood before the act 267
stood before the ark 978
stood before the bar 1128
stood before the bed 643
stood before the big 437
stood before the box 186
stood before the boy 194
stood before the car 59
stood before the day 45
stood before the dead 126
stood before the dying 115
stood before the earl 195
stood before the eye 441
stood before the god 319
stood before the head 104
stood before the hut 162
stood before the inn 225
stood before the kings 41
stood before the law 395
stood before the lion 111
stood before the log 42
stood before the long 723
stood before the low 167
stood before the man 1758
stood before the map 149
stood before the men 358
stood before the mob 72
stood before the new 272
stood before the now 159
stood before the oak 120
stood before the old 1160
stood before the one 176
stood before the poet 55
stood before the red 167
stood before the row 76
stood before the seat 64
stood before the six 189
stood before the son 61
stood before the sun 170
stood before the team 43
stood before the two 1929
stood before the van 51
stood before the war 2954
stood before the year 115
stood before the zoo 47
stood before us all 132
stood before us and 966
stood before us for 171
stood before us now 86
stood before us that 60
stood before us then 74
stood before us this 83
stood before us was 101
stood before us with 903
stood behind an old 95
stood behind it all 91
stood behind it and 526
stood behind it but 40
stood behind it for 78
stood behind it was 91
stood behind it with 198
stood behind me all 103
stood behind me and 2109
stood behind me for 133
stood behind me with 670
stood behind the bar 2730
stood behind the bay 50
stood behind the bed 182
stood behind the big 307
stood behind the boy 210
stood behind the cab 44
stood behind the car 191
stood behind the gun 89
stood behind the head 146
stood behind the idea 70
stood behind the law 106
stood behind the long 204
stood behind the low 192
stood behind the man 1066
stood behind the men 240
stood behind the new 195
stood behind the old 422
stood behind the one 220
stood behind the red 46
stood behind the row 61
stood behind the seat 171
stood behind the team 40
stood behind the two 1179
stood behind the war 87
stood behind us all 57
stood behind us and 206
stood behind us with 178
stood beside an oak 89
stood beside an old 208
stood beside it and 799
stood beside it for 400
stood beside it was 45
stood beside it with 440
stood beside me all 94
stood beside me and 2677
stood beside me for 373
stood beside me had 51
stood beside me now 92
stood beside me one 55
stood beside me that 53
stood beside me with 598
stood beside my bed 2156
stood beside my car 117
stood beside my seat 55
stood beside the bar 101
stood beside the bath 43
stood beside the bed 16906
stood beside the big 341
stood beside the box 194
stood beside the boy 235
stood beside the bus 98
stood beside the cab 82
stood beside the car 2288
stood beside the cot 198
stood beside the dead 1134
stood beside the death 142
stood beside the dog 139
stood beside the dying 180
stood beside the gun 64
stood beside the head 101
stood beside the heap 42
stood beside the hut 44
stood beside the long 171
stood beside the low 66
stood beside the man 1183
stood beside the map 54
stood beside the mean 78
stood beside the men 108
stood beside the new 183
stood beside the old 1003
stood beside the one 175
stood beside the path 255
stood beside the pit 65
stood beside the rear 120
stood beside the red 60
stood beside the seat 127
stood beside the tub 156
stood beside the two 875
stood beside the van 132
stood beside the way 267
stood beside us and 195
stood beside us with 101
stood beyond the low 44
stood blinking at each 74
stood blinking at her 237
stood blinking at him 189
stood blinking at them 75
stood blocking my way 42
stood blocking the path 45
stood blocking the way 275
stood boldly in for 89
stood boldly on his 52
stood boldly up and 89
stood calmly at her 40
stood calmly at his 57
stood calmly by and 135
stood calmly in his 93
stood champing the bit 44
stood chatting to one 60
stood closer to each 90
stood closer to god 60
stood closer to her 253
stood closer to him 363
stood closer to his 126
stood closer to one 63
stood closer to them 60
stood drinks to all 41
stood eleven to one 332
stood engaged in for 54
stood engaged to his 82
stood engaged to pay 53
stood enough of this 46
stood fairly at one 85
stood filled at his 56
stood firmly at his 200
stood firmly by her 350
stood firmly by him 741
stood firmly by his 1100
stood firmly by its 377
stood firmly by our 113
stood firmly by that 50
stood firmly by them 84
stood firmly by this 71
stood firmly in her 63
stood firmly in his 203
stood firmly in its 106
stood firmly in this 78
stood firmly on both 121
stood firmly on her 210
stood firmly on his 888
stood firmly on its 353
stood firmly on that 50
stood firmly on this 61
stood firmly to her 90
stood firmly to him 46
stood firmly to his 214
stood framed in her 75
stood framed in his 46
stood framed in its 43
stood framed in that 85
stood frowning at her 150
stood frowning at him 96
stood frowning at his 150
stood frozen as she 90
stood frozen as they 40
stood frozen in awe 49
stood frozen in fear 589
stood frozen in her 267
stood frozen in his 452
stood frozen in its 41
stood frozen in mid 120
stood frozen in one 45
stood frozen in our 52
stood frozen in that 61
stood frozen to our 64
stood greatly in awe 479
stood greatly in fear 162
stood grinning at each 195
stood grinning at her 351
stood grinning at him 206
stood grinning at his 71
stood grinning at them 87
stood groups of men 76
stood higher in all 91
stood higher in her 538
stood higher in his 979
stood higher in our 94
stood higher in this 214
stood higher on his 43
stood hitching up his 45
stood inside it and 61
stood inside of one 50
stood inside the big 60
stood inside the old 59
stood itself on end 133
stood knocking at his 64
stood laughing at her 113
stood laughing at him 223
stood laughing at his 98
stood laughing at them 79
stood laughing at this 98
stood laughing in his 44
stood laughing to see 81
stood locked in each 411
stood locked in his 42
stood locked in one 48
stood massed at his 67
stood meekly to one 52
stood myself at that 90
stood nearest of all 60
stood nearest the bow 53
stood nearest to god 48
stood nearest to her 177
stood nearest to him 1940
stood nearest to his 208
stood nearest to them 218
stood poised on her 63
stood poised on his 95
stood poised on its 80
stood poised on one 183
stood poised to lead 51
stood poised to leap 40
stood poised to run 54
stood preaching in its 75
stood reality on its 70
stood rooted in fear 43
stood rooted in her 58
stood rooted in his 156
stood rooted in one 59
stood rooted to her 143
stood rooted to his 198
stood rooted to one 90
stood scanning the sky 43
stood scowling at her 120
stood scowling at him 73
stood scowling at them 41
stood second in her 107
stood second in his 590
stood second to his 194
stood second to that 53
stood seemed to him 57
stood sentry at his 59
stood sentry by our 44
stood shouting at each 44
stood silent as death 42
stood silent as his 41
stood silent as she 81
stood silent as they 126
stood silent at his 86
stood silent by her 98
stood silent by his 107
stood silent in his 314
stood silent in its 52
stood silent in that 77
stood silent so long 51
stood silent to hear 42
stood silent to see 43
stood singular in his 47
stood slowly to his 102
stood slowly up and 41
stood sniffing the air 163
stood snuffing the air 44
stood square on his 234
stood studying it for 59
stood tamely by and 45
stood through it all 233
stood through the long 220
stood toward the east 526
stood toward the end 83
stood toward the rear 201
stood united as one 48
stood united in its 81
stood vacant on his 61
stood watching an old 59
stood watching as her 59
stood watching as his 120
stood watching as she 609
stood watching as they 410
stood watching in awe 67
stood watching it all 99
stood watching it for 426
stood watching it with 209
stood watching me and 75
stood watching me for 206
stood watching me with 300
stood watching the big 83
stood watching the boy 113
stood watching the cab 59
stood watching the car 337
stood watching the cat 40
stood watching the dial 62
stood watching the dog 46
stood watching the long 119
stood watching the man 605
stood watching the men 367
stood watching the new 46
stood watching the old 132
stood watching the red 177
stood watching the sky 266
stood watching the sun 628
stood watching the two 1509
stood watching to see 247
stood watching us and 94
stood watching us for 77
stood watching us with 254
stood wildly on end 51
stood without the inn 61
stood yellow in all 45
stool across the bar 44
stool around so that 46
stool before it and 44
stool before it was 45
stool behind the bar 526
stool beside it and 47
stool beside me and 195
stool beside my bed 55
stool beside the bath 52
stool beside the bed 725
stool beside the cot 89
stool beside the cow 67
stool beside the old 74
stool beside the tub 148
stool closer to her 70
stool closer to him 44
stool closer to his 42
stool pigeons do not 50
stoop across the way 56
stoop lovingly to him 53
stops before he has 124
stops before it has 152
stops before the end 533
stops before we get 148
stops beside me and 41
stops drinking or using 44
stops midway in its 46
stops pressing the bar 155
stops should be set 243
store across the way 1355
store before he had 40
store before he was 86
store before it can 101
store before it was 175
store before the end 48
store before the war 270
store belonging to his 156
store belonging to one 115
store building is not 98
store caught my eye 62
store clerks do not 120
store closed at six 264
store closed at ten 83
store closes at one 46
store closes at six 224
store copies of all 183
store energy as fat 422
store energy in fat 42
store energy in its 195
