fan for 111 fan net
43 for than 186 for
that 2952 for they 56
for was 280 for with
366 for and 1984 for
are 162 for but 45
for can 60 for for
177 for may 42 for
that 766 for was 65
for with 69 for and
1964 for are 268 for
but 92 for can 43
for for 148 for has
78 for may 76 for
than 433 for that 802
for was 151 for with
96 for and 127 for
and 125 for and 410
for that 89 for and
95 for for 137 for
and 244 for that 129
for and 90 for and
42 for and 914 for
are 45 for but 58
for for 214 for that
114 for was 185 for
who 136 for with 72
for and 94 for with
180 for and 55 for
and 112 for and 69
for and 159 for and
120 for and 44 for
and 1588 for are 127
for can 63 for for
107 for that 460 for
was 45 for with 59
for and 203 for was
103 for who 136 for
and 181 for that 42
for and 756 for are
49 for for 160 for
that 347 for was 62
for and 69 for and
869 for are 87 for
that 102 for was 93
for who 203 for with
67 for and 491 for
for 158 for and 253
for and 43 for and
54 for and 68 for
for 80 for that 91
for and 45 for and
136 for for 150 for
and 51 for and 53
for that 90 for and
299 for are 56 for
for 41 for and 643
for are 108 for has
40 for that 289 for
was 59 for with 54
for and 52 for any
65 for with 42 for
any 380 for her 48
for him 65 for his
118 for this 90 for
and 47 for for 573
for being 51 for him
108 for his 42 for
them 61 for this 66
for you 124 for with
65 for his 62 for
any 72 for him 383
for with 114 for any
139 for this 166 for
him 48 for his 43
for his 50 for her
133 for his 413 for
them 46 for this 76
for that 136 for with
102 for with 56 for
his 57 for with 246
for with 68 for her
151 for him 370 for
his 98 for them 279
for with 440 for you
69 for her 115 for
him 100 for you 152
for any 56 for his
323 for them 43 for
this 87 for with 261
for his 49 for him
52 for his 184 for
them 235 for him 40
for his 57 for them
89 for and 72 for
his 70 for them 41
for his 52 for all
42 for her 65 for
his 216 for that 476
for this 82 for his
66 for them 132 for
this 129 for him 90
for with 65 for her
51 for her 40 for
them 52 for his 93
for can 269 for had
68 for has 275 for
was 113 for who 173
for and 76 for are
50 for due 102 for
his 235 for its 66
for that 290 for this
58 for his 65 for
how 144 for that 70
for things 75 for this
51 for why 160 for
his 144 for him 92
for and 87 for that
702 for this 161 for
her 46 for that 211
for them 64 for all
69 for her 298 for
his 1382 for its 559
for one 157 for our
118 for that 97 for
them 290 for this 163
for him 73 for his
106 for them 65 for
god 41 for his 135
for them 47 for this
54 for with 124 for
him 47 for can 196
for that 692 for this
40 for all 43 for
any 67 for her 99
for his 1021 for its
131 for that 232 for
them 170 for this 253
for any 112 for her
64 for him 275 for
his 96 for them 220
for this 69 for you
45 for any 56 for
that 332 for them 113
for this 51 for any
66 for him 83 for
his 171 for them 260
for that 107 for her
97 for him 69 for
his 158 for its 47
for them 76 for this
208 for was 60 for
with 1312 for her 992
for him 423 for his
269 for its 55 for
our 42 for them 605
for you 192 for her
49 for his 311 for
them 121 for this 170
for that 103 for his
44 for her 91 for
him 51 for his 147
for and 63 for with
111 for her 68 for
him 40 for his 84
for them 53 for how
40 for his 82 for
its 42 for that 165
for and 54 for her
388 for him 853 for
his 671 for its 65
for our 43 for them
324 for this 66 for
you 101 for his 58
for that 230 for any
41 for his 44 for
you 90 for that 93
for was 55 for man
96 for that 307 for
and 40 for and 121
for and 265 for and
49 for and 477 for
are 75 for for 46
for has 87 for that
95 for was 151 for
and 70 for and 51
for and 46 for and
132 for was 77 for
and 43 for and 86
for and 56 for and
53 for and 57 for
that 53 for and 104
for and 163 for are
58 for and 220 for
who 72 for and 48
for year 11036 for and
136 for can 52 for
may 198 for that 58
for who 100 for and
86 for and 148 for
but 59 for may 200
for day 52 for him
59 for that 608 for
that 271 for with 45
for and 94 for day
495 for man 66 for
may 171 for day 73
for year 3080 for and
62 for and 135 for
man 154 for day 385
for set 126 for swing
268 for year 573 for
and 81 for can 198
for may 120 for and
194 for but 41 for
may 115 for that 99
for and 51 for may
42 for for 67 for
and 55 for and 54
for and 225 for are
50 for but 43 for
may 74 for who 56
for and 89 for and
77 for who 76 for
for 79 for for 51
for and 181 for and
277 for and 44 for
may 43 for and 50
for may 42 for and
54 for and 90 for
may 55 for and 188
for per 84 for and
126 for for 111 for
may 105 for who 52
for and 279 for for
712 for may 54 for
with 99 for and 48
for and 42 for for
142 for year 323 for
aim 71 for that 270
for and 165 for are
42 for may 214 for
man 314 for out 323
for that 138 for may
48 for may 71 for
and 61 for and 120
for and 69 for may
77 for and 62 for
and 72 for and 173
for are 210 for but
49 for may 207 for
and 149 for but 40
for may 71 for and
73 for may 50 for
and 66 for may 188
for and 97 for that
184 for and 158 for
and 43 for can 43
for and 46 for and
87 for way 51 for
and 42 for and 50
for may 51 for who
53 for and 100 for
man 85 for and 931
for but 84 for each
189 for for 144 for
was 71 for with 132
for idea 108 for and
56 for that 111 for
and 43 for and 244
for are 44 for but
76 for can 41 for
may 320 for that 93
for man 71 for act
64 for and 55 for
area 142 for day 45
for job 283 for set
149 for use 323 for
year 215 for and 57
for with 48 for and
79 for that 109 for
for 107 for that 84
for that 239 for and
51 for and 41 for
and 127 for and 128
for are 68 for and
49 for and 124 for
non 155 for and 44
for and 108 for and
131 for and 84 for
and 61 for and 41
for way 115 for and
664 for are 656 for
but 45 for can 77
for for 67 for has
90 for than 89 for
that 506 for was 245
for and 181 for are
79 for that 42 for
was 57 for and 159
for and 91 for are
77 for that 1868 for
that 794 for and 1720
for are 120 for but
51 for has 69 for
may 44 for now 48
for than 47 for that
280 for was 218 for
with 534 for and 101
for and 92 for with
138 for and 65 for
team 123 for and 43
for and 61 for new
54 for and 70 for
and 92 for and 75
for and 444 for and
54 for and 85 for
and 684 for has 48
for men 153 for than
69 for that 64 for
was 295 for and 43
for for 222 for and
72 for and 74 for
too 108 for all 116
for and 17688 for are
796 for but 429 for
can 230 for does 58
for for 298 for has
172 for may 121 for
not 88 for now 153
for our 106 for out
92 for than 876 for
that 2524 for they 56
for this 375 for too
121 for was 222 for
who 513 for with 341
for yet 141 for and
49 for and 309 for
are 88 for and 421
for who 99 for and
517 for and 125 for
and 83 for and 72
for and 454 for with
156 for and 44 for
with 211 for and 58
for and 91 for and
78 for who 213 for
and 202 for and 103
for are 64 for with
58 for that 132 for
and 162 for with 50
for and 76 for and
42 for and 67 for
use 87 for with 71
for and 69 for law
54 for and 253 for
and 46 for and 171
for that 88 for was
66 for and 97 for
and 46 for and 428
for out 43 for that
52 for was 41 for
who 83 for and 591
for are 51 for and
246 for her 72 for
and 71 for was 70
for and 52 for and
154 for use 120 for
and 43 for and 849
for woes 104 for and
626 for and 79 for
and 326 for and 47
for and 110 for and
98 for men 66 for
for 60 for and 44
for use 103 for and
62 for and 98 for
are 52 for was 44
for and 135 for and
48 for and 148 for
and 540 for are 50
for and 2836 for are
58 for but 46 for
for 43 for than 40
for that 226 for was
56 for who 81 for
with 44 for team 131
for and 74 for and
40 for and 91 for
for 60 for team 511
for and 67 for and
54 for use 53 for
and 64 for and 43
for and 72 for had
56 for and 53 for
and 54 for and 1382
for are 134 for but
41 for our 46 for
than 69 for that 140
for was 51 for and
66 for and 57 for
and 165 for and 110
for and 53 for and
196 for and 46 for
and 104 for and 47
for and 356 for and
291 for and 52 for
and 358 for than 61
for and 174 for use
681 for and 649 for
can 59 for and 72
for and 44 for and
45 for and 42 for
use 56 for was 126
for and 700 for not
43 for than 49 for
that 920 for was 54
for with 48 for and
134 for use 98 for
and 65 for that 441
for and 45 for and
152 for that 269 for
and 205 for and 55
for and 44 for and
43 for and 45 for
and 41 for and 41
for and 92 for and
55 for and 87 for
are 46 for and 106
for and 64 for with
173 for and 57 for
and 53 for and 109
for are 74 for ill
83 for and 422 for
men 57 for and 41
for and 216 for and
176 for with 72 for
and 52 for and 606
for and 60 for and
147 for and 340 for
are 51 for that 52
for and 163 for and
73 for with 156 for
than 50 for and 250
for and 388 for who
42 for and 49 for
and 54 for use 97
for sin 82 for and
41 for and 168 for
and 255 for with 48
for and 994 for are
70 for but 93 for
than 78 for that 140
for was 63 for who
159 for with 347 for
for 52 for and 918
for use 1770 for and
980 for being 153 for
and 71 for and 137
for them 56 for and
170 for and 149 for
and 68 for and 164
for and 209 for was
88 for with 44 for
and 79 for that 40
for and 530 for are
125 for but 47 for
than 41 for with 105
for and 1420 for are
145 for but 49 for
for 53 for has 72
for than 72 for that
158 for was 68 for
and 149 for and 342
for had 40 for was
76 for and 115 for
and 169 for for 52
for that 267 for new
87 for and 57 for
out 205 for was 40
for all 518 for and
3202 for any 143 for
are 6011 for being 345
for both 196 for but
371 for can 1121 for
does 259 for due 46
for for 530 for had
45 for has 345 for
his 176 for how 63
for its 196 for let
307 for may 928 for
not 363 for now 497
for one 336 for our
92 for than 2479 for
that 6438 for then 46
for they 1514 for this
1710 for too 41 for
two 419 for was 1799
for with 389 for you
70 for and 72 for
and 98 for and 41
for and 69 for and
508 for had 44 for
that 51 for was 63
for with 49 for that
95 for and 163 for
and 89 for and 75
for and 77 for being
46 for was 62 for
and 145 for with 2339
for and 215 for and
63 for and 45 for
and 2605 for are 113
for but 180 for can
73 for did 44 for
had 59 for has 163
for than 184 for that
985 for was 685 for
with 92 for and 48
for and 76 for and
1556 for are 46 for
but 43 for for 64
for than 52 for that
101 for and 56 for
and 61 for and 351
for and 481 for are
113 for but 94 for
for 44 for has 60
for that 47 for was
78 for with 48 for
and 56 for and 245
for was 98 for team
49 for and 1120 for
had 40 for that 112
for was 84 for who
152 for and 82 for
and 46 for and 139
for for 292 for with
105 for and 2011 for
are 134 for but 132
for has 46 for than
91 for that 554 for
was 75 for who 234
for with 102 for and
113 for was 62 for
who 57 for and 172
for and 193 for are
41 for and 1854 for
are 75 for but 122
for than 59 for that
392 for that 134 for
and 383 for and 43
for and 40 for and
44 for and 150 for
are 129 for with 54
for aim 49 for and
72 for end 98 for
and 46 for and 84
for and 45 for are
46 for and 71 for
and 61 for and 56
for and 104 for and
159 for and 44 for
and 184 for day 133
for and 42 for with
63 for and 1273 for
for 214 for that 117
for was 79 for and
101 for and 62 for
and 49 for and 70
for and 77 for and
111 for and 57067 for
are 951 for being 55
for but 287 for can
209 for does 83 for
for 2089 for had 212
for has 506 for led
88 for may 253 for
not 153 for now 57
for than 307 for that
1630 for they 82 for
was 669 for with 426
for and 124 for and
45 for and 45 for
and 65 for and 378
for are 90 for can
56 for that 118 for
was 42 for with 260
for with 61 for and
165 for and 65 for
and 65 for that 63
for and 62 for and
72 for with 41 for
and 68 for that 116
for and 177 for and
996 for are 226 for
for 82 for may 72
for not 50 for tax
449 for than 46 for
that 513 for was 103
for with 84 for and
322 for and 80 for
and 48 for and 70
for and 154 for and
54 for and 358 for
are 78 for was 48
for and 76 for and
80 for and 76 for
use 138 for and 1102
for are 90 for can
45 for for 353 for
has 77 for that 202
for was 116 for with
52 for and 96 for
has 44 for and 70
for and 145 for and
44 for with 127 for
and 94 for are 58
for for 44 for has
41 for his 112 for
that 324 for him 156
for not 108 for with
92 for that 44 for
her 280 for him 262
for his 130 for she
409 for that 6512 for
them 44 for they 69
for this 61 for her
55 for him 64 for
she 87 for that 2148
for her 55 for her
60 for she 195 for
that 979 for that 164
for this 45 for them
40 for him 58 for
them 42 for her 46
for him 41 for her
78 for him 67 for
that 175 for her 64
for her 66 for him
122 for she 72 for
that 936 for that 75
for all 40 for that
798 for with 43 for
that 407 for had 46
for him 129 for did
40 for her 41 for
how 44 for that 258
for her 81 for him
174 for her 132 for
him 107 for them 70
for this 67 for with
68 for that 160 for
her 43 for him 159
for that 138 for all
91 for her 102 for
all 79 for his 68
for with 74 for had
50 for that 220 for
all 52 for him 41
for that 608 for that
45 for her 113 for
him 93 for that 205
for with 60 for how
42 for him 48 for
and 110 for was 46
for that 41 for and
168 for who 46 for
and 69 for who 43
for with 107 for and
50 for and 46 for
his 54 for and 68
for and 71 for and
255 for for 64 for
that 195 for and 90
for and 50 for and
553 for are 145 for
for 603 for that 46
for was 99 for and
72 for and 461 for
for 49 for that 158
for was 44 for and
68 for and 389 for
that 41 for was 61
for that 190 for act
1394 for all 156 for
and 25964 for any 122
for are 2138 for being
51 for both 121 for
but 2114 for can 879
for did 98 for does
443 for due 55 for
each 170 for for 1620
for had 144 for has
781 for his 123 for
may 1381 for nor 51
for not 141 for than
1108 for that 2208 for
then 48 for they 260
for this 118 for thus
67 for using 356 for
was 1537 for with 738
for you 148 for and
46 for and 441 for
that 111 for was 73
for and 551 for that
47 for and 139 for
and 51 for and 66
for and 45 for and
62 for and 68 for
with 44 for men 149
for near 69 for and
42 for year 904 for
and 41 for our 44
for year 360 for job
71 for and 402 for
are 76 for can 54
for for 59 for may
72 for than 42 for
that 43 for was 92
for and 46 for they
191 for and 82 for
being 59 for lab 58
for and 62 for was
89 for and 50 for
was 48 for was 58
for and 43 for and
45 for than 76 for
and 130 for and 99
for was 64 for and
196 for and 93 for
and 92 for idea 74
for and 234 for are
131 for had 42 for
than 79 for was 73
for with 213 for year
165 for year 3150 for
and 74 for was 119
for for 94 for and
360 for are 119 for
for 77 for has 49
for was 114 for and
69 for was 96 for
may 86 for and 51
for and 95 for with
165 for and 58 for
and 53 for and 91
for that 74 for and
275 for are 90 for
can 71 for for 89
for has 44 for may
100 for was 107 for
and 61 for was 76
for and 172 for and
65 for was 51 for
act 44 for act 52
for son 114 for and
43 for and 97 for
and 164 for are 97
for and 72 for and
47 for and 154 for
being 58 for end 60
for and 67 for are
65 for and 131 for
and 73 for and 230
for are 43 for for
40 for was 116 for
with 50 for and 530
for are 48 for for
131 for had 73 for
has 87 for may 56
for was 195 for and
74 for has 58 for
was 122 for and 83
for was 83 for and
104 for was 85 for
and 145 for for 98
for and 46 for for
149 for for 48 for
day 62 for was 41
for and 76 for was
53 for and 67 for
was 49 for and 50
for and 51 for year
2273 for and 68 for
and 54 for using 125
for and 67 for and
71 for and 41 for
and 522 for and 41
for and 55 for man
41 for old 43 for
and 49 for and 172
for and 46 for and
87 for and 70 for
with 61 for all 45
for and 336 for are
75 for for 67 for
than 58 for was 72
for may 52 for dog
45 for and 147 for
and 52 for you 45
for for 40 for and
125 for are 40 for
was 55 for and 109
for with 58 for and
56 for age 93 for
and 62 for and 73
for are 103 for being
81 for was 73 for
and 91 for and 54
for and 140 for may
45 for and 126 for
all 59 for and 158
for was 55 for who
78 for was 118 for
doth 44 for and 44
for too 48 for and
145 for are 41 for
had 60 for was 153
for was 79 for for
44 for and 246 for
are 79 for had 57
for not 77 for was
193 for old 110 for
and 121 for sin 166
for they 146 for and
57 for and 41 for
and 89 for and 142
for had 48 for was
76 for and 49 for
and 806 for was 42
for not 202 for and
70 for them 48 for
and 84 for and 207
for are 47 for for
81 for was 82 for
for 60 for and 207
for had 61 for was
125 for with 45 for
and 44 for was 45
for and 98 for with
71 for its 62 for
our 47 for was 51
for are 43 for was
46 for and 71 for
with 40 for for 137
for that 191 for and
86 for and 119 for
was 49 for and 57
for man 333 for hath
60 for and 203 for
and 47 for and 61
for was 44 for and
50 for and 801 for
and 53 for and 274
for are 119 for but
41 for can 46 for
was 145 for and 69
for age 43 for area
236 for day 289 for
fee 54 for job 248
for set 137 for use
435 for year 272 for
and 42 for and 48
for and 94 for for
75 for they 46 for
was 84 for with 56
for old 91 for year
60 for that 288 for
day 77 for and 61
for was 56 for and
141 for had 44 for
you 55 for and 60
for man 80 for man
64 for old 85 for
than 132 for but 52
for and 48 for with
41 for with 270 for
with 40 for and 92
for with 41 for and
57 for and 53 for
new 40 for out 114
for with 51 for and
45 for and 67 for
with 107 for with 81
for that 101 for than
142 for and 157 for
that 139 for they 141
for that 167 for that
225 for for 43 for
and 64 for and 58
for they 414 for was
113 for you 80 for
she 88 for they 1543
for you 191 for they
638 for you 125 for
and 49 for his 54
for with 42 for are
53 for did 65 for
had 91 for him 41
for that 352 for and
75 for that 456 for
him 66 for that 732
for one 69 for all
90 for and 62 for
her 77 for him 206
for his 103 for not
94 for she 56 for
that 20440 for them 184
for they 559 for this
84 for with 74 for
each 47 for yet 44
for with 132 for are
43 for hug 56 for
with 55 for that 133
for all 73 for not
44 for that 326 for
that 130 for all 59
for with 111 for them
209 for all 62 for
him 106 for not 440
for that 1446 for them
387 for they 76 for
this 127 for his 41
for for 41 for that
2176 for they 94 for
all 41 for that 284
for for 84 for our
53 for him 43 for
that 130 for all 132
for with 69 for six
48 for them 45 for
him 75 for them 60
for all 54 for him
102 for that 760 for
each 47 for him 147
for his 58 for them
40 for with 50 for
with 119 for that 2255
for they 139 for all
54 for both 47 for
not 101 for both 47
for how 238 for not
63 for that 2848 for
him 83 for that 1260
for that 153 for with
50 for not 45 for
are 76 for bear 102
for had 51 for that
1712 for that 578 for
are 102 for can 55
for did 48 for had
43 for all 57 for
not 62 for that 554
for that 172 for they
51 for are 56 for
did 100 for had 118
for that 155 for that
442 for both 40 for
for 100 for him 104
for that 186 for that
136 for all 56 for
for 50 for him 61
for his 55 for not
43 for our 52 for
them 40 for that 298
for all 73 for each
62 for her 80 for
him 499 for not 71
for them 230 for this
115 for all 123 for
for 41 for with 48
for that 593 for how
73 for that 321 for
her 220 for him 413
for him 41 for that
376 for and 62 for
that 250 for each 141
for that 45 for with
92 for them 44 for
and 96 for him 46
for him 63 for that
1804 for they 234 for
him 128 for and 537
for for 79 for and
81 for was 96 for
and 146 for for 49
for and 49 for was
54 for and 63 for
and 50 for and 90
for and 48 for and
50 for and 46 for
year 364 for and 107
for than 41 for was
100 for for 58 for
and 1718 for are 1861
for being 41 for but
170 for can 394 for
for 145 for had 102
for has 465 for may
306 for than 166 for
that 502 for they 62
for was 1704 for with
189 for you 70 for
and 49 for and 68
for are 115 for was
60 for and 52 for
was 90 for and 94
for are 49 for was
120 for and 107 for
are 296 for can 169
for for 60 for has
40 for was 68 for
and 52 for and 137
for man 70 for and
1147 for are 4303 for
but 59 for can 405
for did 62 for does
85 for due 147 for
for 224 for had 82
for has 428 for may
206 for than 166 for
that 958 for using 59
for was 2952 for with
126 for and 83 for
and 179 for are 117
for has 59 for was
183 for act 47 for
bias 65 for gap 80
for non 44 for are
150 for was 97 for
and 1252 for are 2945
for being 80 for but
120 for can 940 for
does 72 for for 159
for had 137 for has
1368 for lay 48 for
may 520 for see 54
for than 155 for that
450 for using 45 for
was 3788 for with 202
for was 73 for and
411 for are 653 for
being 47 for but 46
for can 604 for does
224 for for 81 for
had 48 for has 354
for may 193 for see
113 for than 46 for
that 742 for was 829
for with 61 for had
71 for and 81 for
are 60 for was 128
for and 387 for are
733 for but 61 for
can 566 for does 79
for has 248 for may
275 for than 114 for
that 269 for was 715
for with 53 for act
306 for and 65 for
was 115 for and 206
for are 114 for has
42 for was 119 for
and 480 for are 1051
for but 94 for can
254 for had 45 for
has 143 for lay 94
for may 395 for than
102 for that 155 for
was 1683 for with 49
for act 81 for and
245 for are 50 for
that 274 for was 70
for with 63 for and
94 for was 79 for
act 61 for and 909
for art 88 for but
157 for day 909 for
new 65 for old 81
for poem 48 for and
62 for and 83 for
are 104 for has 76
for was 215 for was
49 for and 52 for
are 99 for was 80
for and 254 for idea
65 for man 43 for
was 95 for and 597
for area 72 for are
300 for can 61 for
for 121 for had 71
for has 119 for may
40 for than 152 for
that 274 for was 382
for with 191 for and
66 for was 52 for
year 782 for and 410
for are 215 for for
61 for had 133 for
has 44 for may 42
for than 54 for that
147 for was 918 for
with 46 for and 79
for are 42 for for
97 for and 326 for
are 1264 for but 59
for can 284 for for
125 for had 51 for
has 120 for may 124
for than 146 for that
216 for was 878 for
with 41 for was 53
for and 305 for are
187 for for 45 for
had 93 for has 53
for that 107 for was
460 for and 154 for
are 96 for was 119
for and 104 for and
55 for did 92 for
was 55 for are 94
for was 92 for with
51 for with 109 for
and 145 for and 316
for are 535 for can
68 for has 131 for
may 60 for than 46
for that 55 for was
368 for with 77 for
and 156 for are 60
for not 52 for him
54 for and 2556 for
are 3471 for being 84
for but 434 for can
694 for does 76 for
for 218 for had 121
for has 1114 for may
866 for not 47 for
than 344 for that 758
for using 58 for was
1901 for with 344 for
and 222 for are 151
for can 60 for has
44 for may 57 for
was 257 for with 101
for and 68 for and
264 for are 122 for
can 58 for has 53
for may 149 for was
184 for was 48 for
not 51 for and 213
for are 60 for for
62 for was 47 for
all 49 for and 108
for for 42 for with
46 for and 49 for
and 167 for are 136
for that 111 for was
214 for with 58 for
and 74 for are 275
for can 63 for has
41 for may 76 for
was 132 for with 108
for and 48 for and
48 for and 107 for
was 44 for and 107
for are 195 for for
41 for has 102 for
was 59 for act 109
for and 47 for act
222 for and 79 for
and 88 for are 194
for can 65 for for
50 for was 160 for
and 119 for area 89
for are 47 for was
44 for and 109 for
lag 65 for and 157
for was 52 for and
380 for job 80 for
and 66 for are 184
for was 45 for and
48 for who 99 for
and 57 for was 117
for and 42 for are
97 for was 69 for
was 46 for and 819
for but 46 for job
86 for and 48 for
meal 47 for being 63
for was 57 for and
47 for its 66 for
and 48 for and 54
for are 53 for and
161 for are 351 for
was 117 for and 82
for are 148 for was
102 for and 141 for
are 79 for was 79
for and 135 for was
250 for was 53 for
fear 45 for and 484
for are 857 for but
81 for can 120 for
has 519 for may 171
for than 98 for that
106 for was 274 for
with 84 for and 155
for are 57 for was
200 for and 443 for
are 277 for being 123
for for 147 for had
100 for has 110 for
that 47 for was 474
for and 64 for are
64 for was 42 for
all 40 for and 42
for was 82 for and
124 for and 193 for
are 288 for can 149
for has 110 for may
44 for that 350 for
too 118 for was 441
for and 360 for are
138 for had 40 for
has 57 for that 49
for was 282 for bias
50 for and 141 for
was 52 for and 161
for and 126 for are
53 for has 41 for
was 120 for and 41
for and 59 for are
340 for can 61 for
has 91 for may 129
for was 402 for and
90 for and 131 for
for 57 for art 41
for and 65 for and
180 for sum 96 for
for 95 for was 141
for new 119 for was
67 for and 68 for
and 94 for and 90
for are 264 for can
67 for may 54 for
was 215 for day 67
for and 48 for that
161 for was 62 for
and 67 for are 144
for can 46 for has
52 for was 188 for
and 81 for are 249
for can 40 for for
49 for has 69 for
may 72 for was 384
for and 83 for are
268 for can 41 for
has 44 for may 90
for was 449 for and
53 for are 55 for
was 107 for was 41
for and 61 for are
353 for may 48 for
was 204 for and 1036
for are 1765 for but
104 for can 459 for
for 78 for had 63
for has 162 for may
310 for than 96 for
that 746 for was 766
for with 129 for you
247 for and 384 for
are 271 for can 60
for had 79 for has
314 for may 51 for
was 868 for than 54
for was 115 for and
56 for was 72 for
was 53 for use 58
for and 119 for are
151 for has 47 for
was 343 for and 81
for and 83 for and
182 for are 153 for
for 51 for has 50
for was 197 for and
209 for are 173 for
that 54 for was 199
for aid 106 for year
1229 for act 65 for
for 71 for team 46
for are 76 for and
45 for are 79 for
was 74 for was 40
for are 57 for act
88 for aid 58 for
and 110 for and 112
for act 215 for and
301 for and 56 for
and 58 for sin 92
for and 81 for and
45 for was 57 for
and 112 for man 58
for man 44 for and
81 for day 47 for
does 43 for act 51
for and 61 for war
49 for and 139 for
was 104 for and 89
for was 53 for and
100 for are 74 for
was 101 for and 447
for are 137 for but
47 for had 44 for
that 48 for was 282
for with 53 for all
75 for was 70 for
use 151 for with 57
for and 669 for are
919 for but 49 for
can 53 for does 49
for for 90 for had
72 for has 220 for
may 61 for than 109
for that 286 for was
464 for with 44 for
act 58 for and 72
for and 127 for are
107 for can 55 for
and 152 for man 43
for and 43 for and
86 for and 85 for
are 64 for and 276
for are 550 for can
83 for has 211 for
may 104 for that 50
for was 447 for and
147 for are 184 for
was 92 for with 61
for and 59 for and
85 for but 42 for
and 121 for has 47
for that 56 for was
260 for was 46 for
not 40 for and 81
for are 57 for was
79 for and 41 for
and 125 for are 379
for can 93 for may
103 for was 318 for
and 339 for that 184
for was 55 for and
68 for and 133 for
and 40 for was 83
for and 123 for and
47 for and 84 for
are 53 for was 106
for and 173 for for
45 for that 52 for
was 96 for act 40
for and 113 for was
143 for was 134 for
and 49 for and 43
for and 57 for are
133 for was 218 for
and 207 for are 41
for was 47 for may
45 for with 101 for
idea 52 for are 47
for and 155 for are
185 for has 85 for
was 67 for was 43
for and 75 for was
245 for was 59 for
and 653 for are 538
for being 64 for but
50 for can 168 for
for 83 for had 163
for has 301 for may
105 for than 66 for
that 248 for was 1617
for with 54 for and
41 for had 108 for
and 46 for was 41
for and 115 for and
78 for are 88 for
was 81 for was 40
for with 279 for was
46 for and 40 for
not 170 for and 1620
for are 2632 for being
172 for but 213 for
can 407 for does 52
for for 184 for had
407 for has 321 for
may 348 for than 175
for that 570 for they
67 for was 2039 for
with 181 for are 75
for was 263 for and
181 for are 196 for
has 96 for was 99
for and 99 for sin
146 for than 83 for
and 57 for was 263
for are 47 for and
49 for was 100 for
are 47 for was 60
for and 82 for are
67 for and 46 for
are 42 for act 52
for and 96 for and
127 for and 96 for
and 46 for and 81
for and 76 for has
56 for that 41 for
was 224 for bias 165
for and 91 for are
109 for bias 231 for
can 95 for for 52
for and 194 for man
58 for new 109 for
and 569 for are 1072
for being 64 for but
63 for can 379 for
had 91 for has 339
for may 276 for set
141 for than 116 for
that 430 for they 43
for was 1683 for with
44 for and 71 for
and 143 for are 54
for being 42 for was
93 for his 44 for
that 44 for are 69
for being 163 for has
101 for lay 100 for
lie 100 for was 373
for and 61 for are
144 for was 536 for
are 46 for son 177
for and 88 for and
80 for are 77 for
can 40 for has 126
for was 190 for and
69 for and 90 for
was 91 for and 492
for are 812 for but
41 for can 202 for
for 143 for had 40
for has 106 for may
68 for than 54 for
that 294 for was 420
for with 70 for was
74 for and 316 for
are 314 for but 40
for can 111 for for
85 for had 79 for
has 223 for may 50
for that 139 for was
1277 for new 96 for
and 42 for are 111
for was 53 for and
243 for are 54 for
may 40 for was 247
for and 218 for are
172 for being 44 for
can 42 for for 125
for has 111 for may
86 for was 793 for
and 125 for are 46
for was 269 for with
46 for are 57 for
and 208 for are 315
for can 164 for for
90 for has 56 for
may 77 for that 108
for was 97 for and
308 for has 91 for
was 75 for and 61
for was 96 for and
101 for was 43 for
and 89 for are 72
for has 106 for was
58 for and 51 for
was 96 for and 164
for are 289 for can
97 for has 112 for
may 66 for was 404
for and 59 for was
86 for and 101 for
are 260 for can 51
for has 43 for may
57 for was 432 for
and 54 for use 44
for that 173 for that
537 for and 141 for
are 132 for was 50
for and 217 for are
308 for can 69 for
has 136 for may 110
for was 360 for are
196 for can 54 for
may 46 for was 441
for and 63 for end
90 for law 52 for
are 56 for and 42
for are 71 for was
49 for and 129 for
was 50 for and 225
for are 792 for bias
82 for can 120 for
has 50 for may 88
for was 512 for and
126 for are 161 for
was 48 for and 158
for are 92 for can
48 for was 102 for
and 61 for and 164
for are 240 for can
70 for has 65 for
was 237 for was 184
for act 103 for and
54 for and 52 for
and 66 for are 79
for was 79 for and
61 for and 41 for
and 2254 for are 4527
for being 46 for but
319 for can 1143 for
did 44 for does 125
for for 188 for had
73 for has 688 for
lay 237 for lie 227
for may 985 for not
48 for than 247 for
that 914 for too 55
for using 66 for was
2759 for with 267 for
was 47 for was 53
for and 51 for are
77 for and 43 for
was 85 for age 141
for and 84 for area
123 for end 134 for
job 282 for set 94
for use 320 for and
63 for are 150 for
was 257 for are 63
for was 93 for and
95 for old 42 for
was 40 for and 69
for are 158 for was
150 for and 287 for
are 458 for can 163
for for 74 for had
48 for has 146 for
may 71 for than 49
for that 58 for was
898 for and 233 for
are 121 for for 213
for has 62 for than
48 for that 92 for
was 233 for with 142
for and 47 for are
84 for was 118 for
that 1324 for act 156
for being 44 for that
173 for and 77 for
was 45 for and 92
for are 99 for was
181 for act 78 for
and 155 for are 372
for has 234 for may
48 for that 46 for
was 114 for and 73
for are 127 for may
45 for was 160 for
and 74 for was 55
for and 208 for are
422 for can 134 for
for 156 for has 154
for may 217 for was
240 for act 138 for
and 101 for man 41
for sin 90 for war
151 for and 96 for
are 608 for was 64
for and 46 for are
47 for and 59 for
man 42 for and 114
for are 112 for has
96 for may 44 for
was 179 for and 160
for are 190 for can
42 for was 406 for
and 51 for she 59
